filename,category,expected_event,predicted_event,confidence,hit
1-100032-A-0,dog,dog_bark,,0.0,False
1-100210-A-36,vacuum_cleaner,,,0.0,True
1-101296-A-19,thunderstorm,thunder,thunder,0.6406,True
1-101336-A-30,door_wood_knock,knock,knock,0.6401,True
1-115545-A-48,fireworks,bang,bang,0.6393,True
1-13571-A-46,church_bells,bell,bell,0.9998,True
1-13613-A-37,clock_alarm,alarm_clock,alarm_clock,0.4062,True
1-17124-A-43,car_horn,car_horn,,0.0,False
1-187207-A-20,crying_baby,baby_cry,baby_cry,0.2097,True
1-20133-A-39,glass_breaking,glass_break,,0.0,False
1-21896-A-35,washing_machine,,,0.0,True
1-31482-A-42,siren,siren,siren,0.644,True
1-51805-A-33,door_wood_creaks,door,baby_cry,0.7637,False
2-100648-A-43,car_horn,car_horn,car_horn,0.3431,True
2-102435-A-37,clock_alarm,alarm_clock,,0.0,False
2-102567-A-35,washing_machine,,,0.0,True
2-104105-A-19,thunderstorm,thunder,thunder,0.9901,True
2-106072-A-36,vacuum_cleaner,,,0.0,True
2-106881-A-39,glass_breaking,glass_break,fire,0.3063,False
2-107351-A-20,crying_baby,baby_cry,baby_cry,0.8439,True
2-114254-A-30,door_wood_knock,knock,,0.0,False
2-114280-A-0,dog,dog_bark,dog_bark,0.9437,True
2-117615-A-48,fireworks,bang,bang,0.8848,True
2-123712-A-33,door_wood_creaks,door,buzzer,0.4212,False
2-43802-A-42,siren,siren,siren,0.517,True
2-56926-A-46,church_bells,bell,bell,0.9529,True
3-101381-A-33,door_wood_creaks,door,,0.0,False
3-103050-A-19,thunderstorm,thunder,thunder,0.5263,True
3-111102-A-46,church_bells,bell,bell,0.8085,True
3-117793-A-37,clock_alarm,alarm_clock,,0.0,False
3-119120-A-48,fireworks,bang,explosion,0.9781,False
3-135469-A-35,washing_machine,,,0.0,True
3-136288-A-0,dog,dog_bark,dog_bark,0.6209,True
3-144510-A-30,door_wood_knock,knock,,0.0,False
3-145577-A-43,car_horn,car_horn,,0.0,False
3-151080-A-20,crying_baby,baby_cry,baby_cry,0.8878,True
3-152020-A-36,vacuum_cleaner,,,0.0,True
3-203371-A-39,glass_breaking,glass_break,,0.0,False
3-51376-A-42,siren,siren,siren,0.9961,True
4-102871-A-42,siren,siren,siren,0.7801,True
4-107117-A-33,door_wood_creaks,door,,0.0,False
4-119647-A-48,fireworks,bang,explosion,0.5994,False
4-125070-A-19,thunderstorm,thunder,thunder,0.5738,True
4-125825-A-46,church_bells,bell,bell,0.8005,True
4-146200-A-36,vacuum_cleaner,,,0.0,True
4-151242-A-37,clock_alarm,alarm_clock,alarm,0.5786,False
4-167077-A-20,crying_baby,baby_cry,baby_cry,0.8118,True
4-175845-A-43,car_horn,car_horn,car_horn,0.4859,True
4-182034-A-30,door_wood_knock,knock,knock,0.5523,True
4-182395-A-0,dog,dog_bark,,0.0,False
4-204115-A-39,glass_breaking,glass_break,,0.0,False
4-218199-A-35,washing_machine,,,0.0,True
5-117118-A-42,siren,siren,siren,0.5568,True
5-141683-A-35,washing_machine,,,0.0,True
5-151085-A-20,crying_baby,baby_cry,baby_cry,0.9886,True
5-156999-A-19,thunderstorm,thunder,thunder,0.7345,True
5-160614-A-48,fireworks,bang,bang,0.8141,True
5-161270-A-33,door_wood_creaks,door,,0.0,False
5-179294-A-46,church_bells,bell,bell,0.7676,True
5-179860-A-43,car_horn,car_horn,,0.0,False
5-182007-A-36,vacuum_cleaner,,,0.0,True
5-203128-A-0,dog,dog_bark,dog_bark,0.9344,True
5-210612-A-37,clock_alarm,alarm_clock,alarm_clock,0.5472,True
5-218980-A-30,door_wood_knock,knock,,0.0,False
5-221528-A-39,glass_breaking,glass_break,,0.0,False
