filename,category,expected_event,predicted_event,confidence,hit
1-100032-A-0,dog,dog_bark,,0.0,False
1-100210-A-36,vacuum_cleaner,,,0.0,True
1-101296-A-19,thunderstorm,thunder,thunder,0.3273,True
1-101336-A-30,door_wood_knock,knock,,0.0,False
1-115545-A-48,fireworks,bang,explosion,0.403,False
1-13571-A-46,church_bells,bell,bell,0.9998,True
1-13613-A-37,clock_alarm,alarm_clock,,0.0,False
1-17124-A-43,car_horn,car_horn,,0.0,False
1-187207-A-20,crying_baby,baby_cry,,0.0,False
1-20133-A-39,glass_breaking,glass_break,,0.0,False
1-21896-A-35,washing_machine,,,0.0,True
1-31482-A-42,siren,siren,,0.0,False
1-51805-A-33,door_wood_creaks,door,baby_cry,0.3956,False
2-100648-A-43,car_horn,car_horn,,0.0,False
2-102435-A-37,clock_alarm,alarm_clock,,0.0,False
2-102567-A-35,washing_machine,,,0.0,True
2-104105-A-19,thunderstorm,thunder,thunder,0.9901,True
2-106072-A-36,vacuum_cleaner,,,0.0,True
2-106881-A-39,glass_breaking,glass_break,,0.0,False
2-107351-A-20,crying_baby,baby_cry,baby_cry,0.6769,True
2-114254-A-30,door_wood_knock,knock,,0.0,False
2-114280-A-0,dog,dog_bark,dog_bark,0.9437,True
2-117615-A-48,fireworks,bang,explosion,0.8825,False
2-123712-A-33,door_wood_creaks,door,,0.0,False
2-43802-A-42,siren,siren,siren,0.3754,True
2-56926-A-46,church_bells,bell,bell,0.9529,True
3-101381-A-33,door_wood_creaks,door,,0.0,False
3-103050-A-19,thunderstorm,thunder,thunder,0.3248,True
3-111102-A-46,church_bells,bell,bell,0.8085,True
3-117793-A-37,clock_alarm,alarm_clock,,0.0,False
3-119120-A-48,fireworks,bang,bang,0.3116,True
3-135469-A-35,washing_machine,,,0.0,True
3-136288-A-0,dog,dog_bark,dog_bark,0.3206,True
3-144510-A-30,door_wood_knock,knock,,0.0,False
3-145577-A-43,car_horn,car_horn,,0.0,False
3-151080-A-20,crying_baby,baby_cry,baby_cry,0.8878,True
3-152020-A-36,vacuum_cleaner,,,0.0,True
3-203371-A-39,glass_breaking,glass_break,,0.0,False
3-51376-A-42,siren,siren,siren,0.9961,True
4-102871-A-42,siren,siren,siren,0.7739,True
4-107117-A-33,door_wood_creaks,door,,0.0,False
4-119647-A-48,fireworks,bang,bang,0.4416,True
4-125070-A-19,thunderstorm,thunder,thunder,0.4591,True
4-125825-A-46,church_bells,bell,bell,0.5036,True
4-146200-A-36,vacuum_cleaner,,,0.0,True
4-151242-A-37,clock_alarm,alarm_clock,alarm,0.5786,False
4-167077-A-20,crying_baby,baby_cry,baby_cry,0.5683,True
4-175845-A-43,car_horn,car_horn,,0.0,False
4-182034-A-30,door_wood_knock,knock,,0.0,False
4-182395-A-0,dog,dog_bark,,0.0,False
4-204115-A-39,glass_breaking,glass_break,,0.0,False
4-218199-A-35,washing_machine,,,0.0,True
5-117118-A-42,siren,siren,siren,0.5088,True
5-141683-A-35,washing_machine,,,0.0,True
5-151085-A-20,crying_baby,baby_cry,baby_cry,0.8974,True
5-156999-A-19,thunderstorm,thunder,thunder,0.5882,True
5-160614-A-48,fireworks,bang,bang,0.6515,True
5-161270-A-33,door_wood_creaks,door,,0.0,False
5-179294-A-46,church_bells,bell,bell,0.7641,True
5-179860-A-43,car_horn,car_horn,,0.0,False
5-182007-A-36,vacuum_cleaner,,,0.0,True
5-203128-A-0,dog,dog_bark,dog_bark,0.9344,True
5-210612-A-37,clock_alarm,alarm_clock,alarm_clock,0.5472,True
5-218980-A-30,door_wood_knock,knock,,0.0,False
5-221528-A-39,glass_breaking,glass_break,,0.0,False
